,cluster,mean,top10,top25,top50
0,0,0.6084190609104017,0.7415287218716523,0.7415287218716523,0.7290561635384785
1,1,0.5514941251517276,0.7038027072323089,0.6754341838865316,0.6361422159111505
2,2,0.4827368719884671,0.6176877135041545,0.528488418482809,0.4968142709098028
3,3,0.6131438281581034,,,0.6771101046948391
4,4,0.6297377280602124,0.7911491792431053,0.7911491792431053,0.7350152204785331
5,5,0.4525980838675839,,0.5507832533883945,0.5083871699082309
6,6,0.5318187130749347,0.6795068383001687,0.652397279600482,0.6131467671520614
7,7,0.7254365268861874,0.8528716900589373,0.8297215670006006,0.7818845287725742
8,8,0.5694810118243043,0.7586549440227578,0.7100366708598916,0.6641198191757022
9,9,0.21385847212121564,0.41161454476946024,0.35431187300759986,0.3008035498936802
10,10,0.5689281061645904,0.7065255313642879,0.6652669166053532,0.6320357153395216
11,11,0.5050598119769086,0.6890763214078779,0.6444218885971028,0.5873555274538942
12,12,0.654504607735658,0.7746901790781333,0.7481468942894972,0.7208256970114012
13,13,0.6179927701074127,0.7331532402908529,0.7079614080199219,0.6813818976244026
14,14,0.6043692429318869,0.7849865305131162,0.7499074221306838,0.7043063570930902
15,15,0.6978949128008036,0.8244324947342138,0.788673795171287,0.7574311108212775
16,16,0.5667462060194536,0.7086812346582687,0.6786283052671627,0.637152811882301
17,17,0.703365168227879,,,0.7356815504184834
18,18,0.5719557612346327,0.716833331035781,0.6866695760217227,0.6500006517925707
19,19,0.5020071839494807,0.683228634586035,0.6374817321205744,0.5846377080333844
20,20,0.4397053736567959,0.6201012364916385,0.5755370912051024,0.5380464647434651
21,21,0.5010816851070303,,0.6825899282898954,0.5538157538918043
22,22,0.4547915662587019,0.631508582735888,0.5852226802014219,0.5378434313866796
23,23,0.45976876151044416,0.6497390433623869,0.5990760546596416,0.5403497785338824
24,24,0.5241932028549681,0.7177779070532876,0.675566252680719,0.6214893068693128
25,25,0.511497321424403,0.67810581564667,0.6363658865142556,0.5884361153657196
26,26,0.5124436738510512,0.6733795210639458,0.6190806637718929,0.5865925307804831
27,27,0.5351763455137167,0.7279308604619075,0.6723114761494157,0.6201117932836675
28,28,0.6092013676881237,,,0.6092013676881237
29,29,0.5501788486723731,0.7170145511690151,0.6712572503150066,0.6265517038404027
30,30,0.594964158275629,0.6890265424541997,0.6771823011586372,0.6562188144601573
