;;;;;
16;;Learning objective;cluster;Label;
18;;know different machine learning model classes.;6;1;
19;;comprehend the difference between supervised, unsupervised, and reinforcement learning methods.;9;0;
21;;understand common machine learning models.;6;1;
27;;appropriately choose machine learning models according to a given task.;6;1;
29;;understand current data science methodologies.;13;1;
30;;create new features from raw data.;11;1;
32;;apply feature selection techniques.;11;1;
33;;identify common fallacies and know how to avoid them.;9;0;
34;;identify the different types and sources of data.;11;1;
35;;understand different database concepts.;1;1;
36;;build new database structures.;1;1;
37;;evaluate various data storage frameworks w.r.t.project requirements.;8;1;
38;;analyze which data format to use for a given project.;11;1;
;;create a distributed computing environment for a given project.;22;1;
;;;;;
;;Content of Clusters:;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;...;;;
;;;;;
;;;;;
;;;;;
