Unnamed: 0;skill;Label;cluster
3969; strong skills in statistical methodologies such as a/b test, experiment design, hypothesis test, anova, crosstabs, t tests and correlation techniques ;0;12
3300; extensive experience in development of t-sql, dts, olap, pl/sql, stored procedures, triggers, functions, packages, performance tuning and optimization for business logic implementation.;1;1
4384; worked on resulting reports of the application.;1;23
3308; proficient in system analysis, er/dimensional data modeling, database design and implementing rdbms specific features.;0;30
2890; created a wholesale portal with easy checkout enhanced features targeting wholesale needs and improving user experience.;1;25
3830; programming languages: python, sql, r, matlab, torch, c, c++, java ,octave, apache spark, hadoop, spark ml.;1;18
545; responsible for debugging and troubleshooting the web application.;0;22
1812; experience in big data technologies like spark 1.6, spark sql, pyspark, hadoop 2.x, hdfs, hive 1.x.;1;8
2596; - built an nlp system to automatically assess depression and ptsd using text-based;1;9
959; experienced in ensemble learning usingbagging, boosting & random forests;1;6
4096; familiar with predictive models using classification algorithms like knn, naive base, regression and decision trees.;1;12
2407; designed and created data marts as part of a data warehouse.;1;29
1328; to determine the best tool available in the market that would be best fit for company's need.;0;22
2908; detect and classify tumour images using;0;9
4821; knowledgeable in deep learning (tensorflow, keras) and amazon ec2, etc. work experience python developer/data scientist infomerica inc october 2017 to present ;1;15
4846; played a key role to solve complex problems, pivotal to nationwide's business and drive customer insights from petabytes of data.;1;25
931; created various types of data visualizations using r, c#, python and tableau/spotfire also connected pipeline pilot with spotfire to create more interactive business driven layouts.;1;14
5564; classification of diabetes data ;1;11
3565; held meetings with client and worked for the entire project with limited help from the client.;1;16
4035; experience with common data science toolkits, such as r, python, spark, etc.;1;18
141; supported it team on various development projects to improve the business operation processes.;1;16
4576; involved in writing stored procedures using oracle.;1;22
1764; ? performed data analysis and data profiling using complex sql on various sources systems including oracle and teradata.;1;29
4475; worked with team of developers to design, develop and implement bi solutions in tableau to measure point of sale kpis at micro and macro level.;1;16
2242; ggplot2, caret, dplyr, rweka, gmodels, rcurl, tm, c50, twitter, nlp, reshape2, rjson, plyr, pandas, numpy, seaborn, scipy, matplot lib, scikit-learn, beautiful soup, rpy2, sqlalchemy.;1;18
3677; conducted every day scrum as part of the scrum master role.;1;0
4309; worked with various teradata15 tools and utilities like teradata viewpoint, multi load, arc, teradata administrator, bteq and other teradata utilities.;1;29
5397; good experience with both waterfall and agile/scrum development.;1;10
4203; environment: aws ec2, s3, redshift, lambda, linux, python (scikit-learn/numpy/pandas/matplotlib), machine learning (logistic regression/gradient boosting/random forest), tableau. data scientist santander - boston, ma march 2016 to april 2017 data scientist banco santander, s.a - austin, tx march 2014 to december 2015 whole foods market inc. is an american supermarket chain that specializes in selling organic foods products without artificial additive products for growing foods, colors, flavors, sweeteners, and hydrogenated fats. it has 473 stores in north america and the united kingdom.;0;25
2779; generated reports with internal records, secondary sources of data, json, csv and more.;1;29
4939; development ide jupyter notebook, spyder, pycharm;1;18
3078; ms excel: macros, visual basic, vb scripting, vba, pivot tables, vlookups.;0;9
2543; designed and maintained databases using python and developed python based api (restful web service) using flask, sql alchemy and postgre sql.;1;1
1162; write python scripts to parse documents.;1;9
5189; strong experience in c/c++ on linux using stl, matlab, multithreading, boost libraries, data structures, tcp/ip socket programming.;1;18
147; classification, regression, clustering, neural nets, nlp, data mining, statistical analysis, time series forecasting, and feature engineering;1;12
4200; observed groups of customers being neglected by the pricing algorithm;1;25
4622; over 7 years\x92 hand on experienced in the areas of machine learning, deep learning and statistical modeling, big data analytics. including prediction modeling, time series forecasting, financial fraud detection, opencv /image processing, object detection, semantic segmentation, deep speech recognition, and nlp;1;24
4285; currently working on building clustering and predictive models using mllib to predict fault code occurrences using spark and mllib.;1;19
2498; installed, configured and managed flume infrastructure.;1;27
5473; used c++ stl containers, algorithms in the system.;0;9
1406; created sql scripts to find data quality issues and to identify keys, data anomalies, and data validation issues.;1;29
383; hands on advanced sql experience summarizing, transforming, segmenting, joining datasets.;1;1
4519; performed data cleaning, features scaling, features engineering using pandas and numpy packages in python and build models using sap predictive analytics.;1;19
5117; the migrated database from legacy systems, sql server to oracle and netezza.;1;1
255; performed data analysis on target data after transfer to data warehouse.;1;29
200; statistics and ml: strong mathematical skills, and working knowledge of statistical and machine learning methods.;1;12
2868; saved the company $500k+ by writing in-house web reports used by 400+ hospitals, including mayo clinic and northwestern hospital.;0;26
840; developed etls to pull data from various sources and transform it for reporting applications using pl/sql.;1;29
